Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
434,Shea Group,EdTech,Accessible EdTech for inclusive learning experiences.,2017,"Elizabethfurt, Namibia",Series D,284.17,1137.0,sheagroup.ai,https://linkedin.com/company/shea-group,@sheagroup1463,Adrian Padilla,NLP,5.0
435,Dunn Ltd,Mobility,Smart tolling with blockchain-based transactions.,2025,"Michaelview, Czech Republic",Pre-Seed,0.05,6.0,dunnltd.com,https://linkedin.com/company/dunn-ltd,@dunnltd4624,Cheyenne Spears,Computer Vision,5.0
436,"Smith, Thompson and Hunter",E-commerce,"Multi-language, multi-currency stores for global audiences.",2020,"New Kellyville, Spain",Private Equity,145.05,484.0,smiththompsonandhunter.io,https://linkedin.com/company/smith-thompson-and-hunter,@smiththompso9101,Deanna Medina,Virtual Reality,100.0
437,"Wright, Ramos and Bennett",SaaS,Multi-cloud compatible SaaS delivering deployment freedom.,2008,"Carrillomouth, Singapore",Series A,,,wrightramosandbennett.app,https://linkedin.com/company/wright-ramos-and-bennett,@wrightramosa7975,Joe Matthews,Edge Computing,120.0
438,Olson LLC,PropTech,Digital property passports securing historical data.,2021,"South Cynthiabury, Philippines",IPO,508.95,3986.0,olsonllc.co,https://linkedin.com/company/olson-llc,@olsonllc5822,Rebecca Gutierrez,IoT,50.0
439,Black-Smith,Mobility,Infrastructure digital twins planning resilient roads.,2024,"Johnland, Iran",Series B,56.33,38.0,blacksmith.com,https://linkedin.com/company/black-smith,@blacksmith9309,Samantha Jones,Virtual Reality,
440,Woods LLC,Food Tech,AI copilots guiding urban farming in smart cities.,2024,"New Joseph, Yemen",Series A,19.71,69.0,woodsllc.tech,https://linkedin.com/company/woods-llc,@woodsllc1282,Tara Lee,Machine Learning,15.0
441,"Gonzalez, Moss and Salas",Social Media,AI-powered story remixing enabling co-creation.,2017,"East James, Egypt",,,176.0,gonzalezmossandsalas.tech,https://linkedin.com/company/gonzalez-moss-and-salas,@gonzalezmoss177,Heather Maxwell,Machine Learning,
442,Mora Ltd,E-commerce,Smart bundling engines increasing average order value.,2017,"Austinside, Armenia",Series D,58.83,967.0,moraltd.ai,https://linkedin.com/company/mora-ltd,@moraltd9236,Jacqueline Stewart,IoT,60.0
443,"Melton, Henry and Joyce",AI & Machine Learning,Predictive AI tools supporting data-informed leadership.,2008,"Raymondshire, Brunei Darussalam",Series C,39.9,535.0,meltonhenryandjoyce.ai,https://linkedin.com/company/melton-henry-and-joyce,@meltonhenrya4130,Robert Mendoza,Augmented Reality,25.0
444,"Johnson, Reed and Dalton",Food Tech,Consumer-to-farm digital feedback loops improving crops.,2012,"South Tiffany, Qatar",Series A,8.66,99.0,johnsonreedanddalton.io,https://linkedin.com/company/johnson-reed-and-dalton,@johnsonreeda7945,Emily Smith,Machine Learning,30.0
445,"Clark, Carpenter and Nguyen",FinTech,Hyper-personalized savings solutions through AI nudges.,2021,"Jacobview, Dominica",Series A,6.28,91.0,clarkcarpenterandnguyen.io,https://linkedin.com/company/clark-carpenter-and-nguyen,@clarkcarpent3455,Tyler Cooper,Deep Learning,90.0
446,Jimenez and Sons,AI & Machine Learning,Generative AI tools for creating synthetic yet reliable data.,2023,"Haynesstad, Haiti",IPO,771.54,4662.0,jimenezandsons.io,https://linkedin.com/company/jimenez-and-sons,@jimenezandso6223,Diana White,Deep Learning,100.0
447,Krause Ltd,AI & Machine Learning,AI-based recommendation engines that boost engagement.,2018,"Port Cory, Faroe Islands",IPO,714.59,,krauseltd.tech,https://linkedin.com/company/krause-ltd,@krauseltd5798,Kristi Chase,Computer Vision,120.0
448,Thomas Ltd,SaaS,SaaS-native business intelligence for non-technical users.,2020,"South Linda, Christmas Island",Seed,3.46,23.0,thomasltd.tech,https://linkedin.com/company/thomas-ltd,@thomasltd3194,Chad Barry,Computer Vision,80.0
449,"Holmes, Le and Floyd",AI & Machine Learning,Cloud-native AI models accelerating enterprise adoption.,2010,"Johnshire, Australia",Pre-Seed,,,holmesleandfloyd.com,https://linkedin.com/company/holmes-le-and-floyd,@holmesleandf7307,Michael Brown,Augmented Reality,90.0
450,Woods-Soto,AI & Machine Learning,Self-optimizing AI workflows for smarter operations.,2014,"Garnerview, Guyana",Seed,3.28,5.0,woodssoto.com,https://linkedin.com/company/woods-soto,@woodssoto9908,Justin Patrick,5G,25.0
451,Smith-Martinez,PropTech,AI chatbots assisting residents with requests.,2013,"New Barbara, Pakistan",Seed,2.47,22.0,smithmartinez.co,https://linkedin.com/company/smith-martinez,@smithmartine4529,Veronica Mitchell,Deep Learning,120.0
452,Nunez-Freeman,SaaS,Plug-and-play SaaS apps with frictionless onboarding.,2009,"Prestonfurt, Nicaragua",Seed,1.83,,nunezfreeman.ai,https://linkedin.com/company/nunez-freeman,@nunezfreeman2916,Mark Thomas,Deep Learning,150.0
453,Davidson LLC,Cybersecurity,Behavioral analytics for insider threat detection.,2012,"Welchshire, Iraq",IPO,488.13,1170.0,davidsonllc.co,https://linkedin.com/company/davidson-llc,@davidsonllc4244,Andrea Martin,Deep Learning,20.0
454,Edwards Ltd,PropTech,Solar integration dashboards for green building ops.,2012,"Jenniferfurt, Faroe Islands",Pre-Seed,0.05,,edwardsltd.co,https://linkedin.com/company/edwards-ltd,@edwardsltd4366,Priscilla Mcmillan,Cloud Computing,25.0
455,"Matthews, Sheppard and Gutierrez",CleanTech,Smart HVAC systems lowering commercial carbon footprints.,2021,"Port Andrew, Saint Lucia",IPO,754.99,874.0,matthewssheppardandgutierrez.tech,https://linkedin.com/company/matthews-sheppard-and-gutierrez,@matthewsshep3701,David Manning,Virtual Reality,5.0
456,"Miller, Jackson and Garcia",FinTech,Neobanks delivering tailored financial ecosystems.,2018,"South Amytown, Sierra Leone",,,206.0,millerjacksonandgarcia.com,https://linkedin.com/company/miller-jackson-and-garcia,@millerjackso1486,Phillip Miller,5G,90.0
457,Montgomery-Miller,Blockchain,Distributed storage networks safeguarding global data.,2014,"Parkerbury, Saint Pierre and Miquelon",Series C,,,montgomerymiller.co,https://linkedin.com/company/montgomery-miller,@montgomerymi3130,Mark Anderson,Cybersecurity,70.0
458,Johnson Ltd,E-commerce,Personalized post-purchase engagement to boost loyalty.,2022,"Michellemouth, Tonga",Seed,0.91,25.0,johnsonltd.tech,https://linkedin.com/company/johnson-ltd,@johnsonltd3908,William Fernandez,Cloud Computing,
459,Dunn-Taylor,Blockchain,Trustless settlement with transparent on-chain analytics.,2009,"New Carla, Norfolk Island",IPO,403.95,3621.0,dunntaylor.com,https://linkedin.com/company/dunn-taylor,@dunntaylor3469,Sherry Graham,Big Data,150.0
460,"Fowler, Collins and Reed",Food Tech,AI-driven recipe recommendation engines for personalization.,2009,"Port Christopher, Gambia",Series B,34.44,,fowlercollinsandreed.tech,https://linkedin.com/company/fowler-collins-and-reed,@fowlercollin751,David Torres,5G,50.0
461,Mills and Sons,AI & Machine Learning,AI governance frameworks for responsible innovation.,2011,"Justinside, Algeria",Series C,50.48,518.0,millsandsons.com,https://linkedin.com/company/mills-and-sons,@millsandsons1871,Katherine Campos,Quantum Computing,
462,Smith-Jordan,EdTech,Competency-based learning platforms reshaping higher ed.,2020,"Carlatown, Mexico",Series D,293.96,340.0,smithjordan.ai,https://linkedin.com/company/smith-jordan,@smithjordan3494,Jason Castro,IoT,10.0
463,Wright-Espinoza,HealthTech,Secure EHR interoperability across healthcare providers.,2019,"Claytonbury, Estonia",Private Equity,247.4,283.0,wrightespinoza.io,,@wrightespino1638,Mario Black,Cybersecurity,100.0
464,"Aguirre, Cohen and Mitchell",AI & Machine Learning,Transforming raw data into strategic intelligence with ML.,2017,"Robertland, Cocos (Keeling) Islands",Series A,16.53,98.0,aguirrecohenandmitchell.io,https://linkedin.com/company/aguirre-cohen-and-mitchell,@aguirrecohen3378,Brian Gibson,Artificial Intelligence,25.0
465,Nelson-Dean,HealthTech,Heart rate variability monitored in real-time AI.,2013,"West Andrew, Australia",Pre-Seed,0.94,,nelsondean.ai,https://linkedin.com/company/nelson-dean,,Alison Compton,5G,120.0
466,Adams-Espinoza,CleanTech,IoT-driven irrigation optimizing agriculture efficiency.,2025,"East Christophertown, Lithuania",Series D,166.05,413.0,adamsespinoza.ai,https://linkedin.com/company/adams-espinoza,@adamsespinoz870,Jason Floyd,Machine Learning,40.0
467,Bolton-Ford,IoT,IoT-driven agriculture improving crop yields.,2013,"West Christopherberg, Azerbaijan",IPO,138.8,2635.0,boltonford.io,https://linkedin.com/company/bolton-ford,@boltonford7122,James Daniels,Cloud Computing,60.0
468,Lee LLC,AI & Machine Learning,Time-series forecasting with cutting-edge AI algorithms.,2013,"Claytonville, Seychelles",Pre-Seed,,,leellc.tech,https://linkedin.com/company/lee-llc,@leellc1902,Janice Proctor,Machine Learning,15.0
469,Rojas Inc,E-commerce,AI-driven A/B testing optimizing site conversions.,2018,"South Jill, Bhutan",Series B,15.51,90.0,rojasinc.app,https://linkedin.com/company/rojas-inc,@rojasinc6760,Vickie Kennedy,IoT,40.0
470,"Ali, Mayer and Moore",Blockchain,Blockchain-driven ESG reporting and sustainability metrics.,2014,"Lake Sharonhaven, British Virgin Islands",Private Equity,254.75,479.0,alimayerandmoore.co,https://linkedin.com/company/ali-mayer-and-moore,@alimayerandm3182,Mark Gonzalez,Artificial Intelligence,90.0
471,Boyer and Sons,Food Tech,Digital twin farms enabling precise crop yield prediction.,2012,"East Cynthiamouth, American Samoa",Pre-Seed,,7.0,boyerandsons.io,https://linkedin.com/company/boyer-and-sons,@boyerandsons5630,Donald Wilson,5G,50.0
472,Smith Inc,Social Media,Digital collectibles integrated into social identity.,2025,"Barkerberg, Holy See (Vatican City State)",Series A,3.56,72.0,smithinc.io,https://linkedin.com/company/smith-inc,@smithinc9693,Danielle Porter,5G,
473,"Montgomery, Galvan and Shea",Food Tech,Smart composting systems reducing food industry waste.,2018,"North Michaelberg, Reunion",Series B,21.12,68.0,montgomerygalvanandshea.tech,https://linkedin.com/company/montgomery-galvan-and-shea,@montgomeryga84,Ashley Freeman,Edge Computing,120.0
474,Holden-Kramer,PropTech,Autonomous drones inspecting property sites.,2024,"Lindamouth, Saint Martin",Pre-Seed,1.22,2.0,holdenkramer.co,https://linkedin.com/company/holden-kramer,@holdenkramer8115,Michael Howard,Big Data,50.0
475,King Inc,Cybersecurity,Confidential computing protecting sensitive workloads.,2017,"Mannside, French Polynesia",Series A,19.98,,kinginc.app,https://linkedin.com/company/king-inc,@kinginc4995,Katherine Knight,NLP,30.0
476,"Bailey, Oconnor and Hill",AI & Machine Learning,AI models tailored for multilingual global markets.,2012,"North Amanda, Korea",IPO,464.82,3334.0,baileyoconnorandhill.app,https://linkedin.com/company/bailey-oconnor-and-hill,@baileyoconno7608,Dennis Richardson,Cloud Computing,5.0
477,Parsons PLC,E-commerce,AI-driven demand forecasting for product restocking.,2021,"Grosstown, Niger",Pre-Seed,1.06,10.0,parsonsplc.io,https://linkedin.com/company/parsons-plc,@parsonsplc1327,Patty Allen,Big Data,80.0
478,"Brown, Coffey and Fuentes",Social Media,Blockchain-based creator royalties for content ownership.,2020,"New Felicia, Seychelles",Pre-Seed,0.95,3.0,browncoffeyandfuentes.app,https://linkedin.com/company/brown-coffey-and-fuentes,@browncoffeya9156,Lisa Morris,Blockchain,15.0
479,"Morris, Davis and Hopkins",E-commerce,Voice-enabled shopping experiences integrated into marketplaces.,2023,"Port Sharonburgh, Tunisia",,,298.0,morrisdavisandhopkins.app,https://linkedin.com/company/morris-davis-and-hopkins,@morrisdavisa3438,Brian Lee,NLP,50.0
480,Duncan Group,Cybersecurity,Deception technology creating traps for attackers.,2019,"Foxshire, Equatorial Guinea",Pre-Seed,0.76,2.0,duncangroup.co,https://linkedin.com/company/duncan-group,@duncangroup8715,Daniel Robbins,Computer Vision,70.0
481,Conrad and Sons,Food Tech,AI copilots for personalized diet planning.,2022,"Hebertland, Lao People's Democratic Republic",Seed,,7.0,conradandsons.ai,https://linkedin.com/company/conrad-and-sons,@conradandson1261,Amy Grant,Cybersecurity,20.0
482,Short-Bauer,HealthTech,Blockchain-enabled secure medical record exchange.,2008,"Port Christinahaven, Armenia",Series B,58.48,63.0,shortbauer.co,https://linkedin.com/company/short-bauer,@shortbauer5681,Sandra Miller,Edge Computing,120.0
483,Yu Inc,FinTech,DeFi lending protocols with institutional-grade guardrails.,2018,"Lake Jerryfurt, Comoros",Series B,27.14,113.0,yuinc.co,https://linkedin.com/company/yu-inc,@yuinc9722,Matthew Hudson,Artificial Intelligence,150.0
484,Hansen PLC,SaaS,AI-powered SaaS search enhancing knowledge discovery.,2023,"Reeseshire, Guinea-Bissau",Series C,64.58,175.0,hansenplc.ai,https://linkedin.com/company/hansen-plc,@hansenplc4660,Michele Simmons,Deep Learning,150.0
485,Jackson and Sons,CleanTech,ML-enhanced waste reduction strategies for industries.,2012,"Wagnerburgh, Martinique",Series A,,,jacksonandsons.ai,https://linkedin.com/company/jackson-and-sons,@jacksonandso9414,Mrs. Heather Edwards DVM,Computer Vision,25.0
486,Kirk-Gutierrez,Food Tech,AI-powered demand elasticity pricing for food delivery.,2012,"Mckenziemouth, New Caledonia",Series D,184.97,508.0,kirkgutierrez.com,https://linkedin.com/company/kirk-gutierrez,@kirkgutierre409,Joshua Brooks,Artificial Intelligence,100.0
487,"Howe, King and Nixon",IoT,Edge analytics that transforms sensor data into insights.,2025,"Moyertown, Saint Kitts and Nevis",Series A,7.96,70.0,howekingandnixon.ai,https://linkedin.com/company/howe-king-and-nixon,@howekingandn9400,Duane Smith,Blockchain,25.0
488,Holder LLC,E-commerce,Cross-channel identity management for personalized targeting.,2023,"West Traceyborough, Togo",Seed,0.91,11.0,holderllc.com,https://linkedin.com/company/holder-llc,@holderllc6581,Raymond Harding,Virtual Reality,50.0
489,Ellison-Dixon,Social Media,AI copilots supporting community moderation decisions.,2016,"North Benjamin, Guinea-Bissau",,,43.0,ellisondixon.tech,https://linkedin.com/company/ellison-dixon,@ellisondixon7299,Derek Preston,NLP,15.0
490,Hall LLC,Gaming,Esports analytics for competitive advantage.,2019,"New Ricardoborough, Saint Martin",,,219.0,hallllc.ai,https://linkedin.com/company/hall-llc,,Frederick Olson,5G,90.0
491,Petersen-Norris,Blockchain,Central bank digital currency infrastructure platforms.,2014,"New Dawnton, Saint Martin",,,228.0,petersennorris.app,https://linkedin.com/company/petersen-norris,@petersennorr6810,Jane Deleon,Edge Computing,150.0
492,Bailey-Montoya,Cybersecurity,Ransomware detection with predictive ML defense.,2010,"Conradville, Trinidad and Tobago",Private Equity,,1976.0,baileymontoya.tech,https://linkedin.com/company/bailey-montoya,@baileymontoy5496,Nicole Atkinson,Virtual Reality,15.0
493,Walters Ltd,AI & Machine Learning,Proactive AI monitoring for system reliability and uptime.,2013,"Brownhaven, Armenia",Series C,115.23,170.0,waltersltd.io,https://linkedin.com/company/walters-ltd,@waltersltd3048,Karl Murphy,IoT,100.0
494,"Walker, Williams and Dennis",SaaS,AI insight layers turning SaaS into decision systems.,2025,"Maddoxshire, Madagascar",Series C,56.94,178.0,walkerwilliamsanddennis.ai,https://linkedin.com/company/walker-williams-and-dennis,@walkerwillia4918,Jeffrey Hartman,Edge Computing,
495,Anderson Inc,HealthTech,Remote patient monitoring with secure data interoperability.,2011,"Duncanton, Mexico",Series B,34.65,183.0,andersoninc.app,https://linkedin.com/company/anderson-inc,@andersoninc5928,Bradley Shaw,Cloud Computing,
496,"Anderson, Taylor and Hansen",Blockchain,AI + blockchain synergy for fraud detection.,2024,"Fostershire, Congo",Seed,0.33,20.0,andersontaylorandhansen.com,https://linkedin.com/company/anderson-taylor-and-hansen,@andersontayl2395,Yolanda Warren,Virtual Reality,80.0
497,Jones Group,AI & Machine Learning,Proactive AI monitoring for system reliability and uptime.,2019,"Gailshire, Benin",Series D,,854.0,jonesgroup.com,https://linkedin.com/company/jones-group,@jonesgroup8420,Jason Diaz,Computer Vision,40.0
498,Flores PLC,PropTech,3D printed housing reducing construction timelines.,2018,"Port Kevinstad, Nicaragua",,,155.0,floresplc.ai,https://linkedin.com/company/flores-plc,@floresplc5940,Rebekah Hanson,Deep Learning,20.0
499,Williams-Meyers,HealthTech,AI models predicting hospital equipment downtime.,2023,"Lake Nathaniel, Saudi Arabia",Series C,140.51,211.0,williamsmeyers.io,https://linkedin.com/company/williams-meyers,@williamsmeye8248,Angelica Singh,Big Data,50.0
500,Rush and Sons,Food Tech,Smart kitchen assistants reducing cooking energy consumption.,2025,"Alexanderville, Gambia",,,59.0,,https://linkedin.com/company/rush-and-sons,@rushandsons7545,Alexander Clark,Edge Computing,15.0
501,"Lewis, Payne and Christensen",E-commerce,AI-powered fraud detection securing transactions.,2022,"Deanberg, Puerto Rico",Series D,199.41,550.0,lewispayneandchristensen.io,https://linkedin.com/company/lewis-payne-and-christensen,@lewispaynean4992,Alicia Aguilar,Computer Vision,5.0
502,"Rose, Scott and Brown",Food Tech,3D food printing enabling customizable meals.,2012,"Port Heather, Faroe Islands",Series B,59.06,225.0,rosescottandbrown.com,https://linkedin.com/company/rose-scott-and-brown,@rosescottand1274,Matthew Smith,Deep Learning,5.0
503,Guerrero-Alvarado,FinTech,Payment orchestration routing for cost efficiency.,2009,"Michelletown, French Guiana",,,130.0,guerreroalvarado.com,https://linkedin.com/company/guerrero-alvarado,@guerreroalva1086,Marie Hall,Artificial Intelligence,70.0
504,Romero-Mckinney,IoT,Underwater IoT networks for ocean research.,2014,"Toddside, Benin",Series B,,53.0,romeromckinney.io,https://linkedin.com/company/romero-mckinney,@romeromckinn4545,Jonathan Ellis,5G,90.0
